method	size	config	seed	silhouette	ari	geo_r2	knn_f1	calinski_harabasz
PCA	470k	1		0.1052830970579668	0.18760290994848677	0.19723480515711783	0.7759161515509537	136.96020092547312
PCA	470k	2		0.33111526890622645	0.599115182434422	0.296046505410027	0.9131935958422276	3903.8877790047786
PCA	470k	3		0.36590531397097276	0.6053862474149931	0.29045092444026754	0.8968991642384717	3575.3595356468654
PCA	470k	4		0.05222876002515251	0.1611821626995794	0.19819599735230153	0.7323763864499453	135.6016870808458
PCA	470k	5		0.3482857373889576	0.6162820195205165	0.29323282485048974	0.9606406129124371	3960.82666232364
PCA	470k	6		0.4243627996644503	0.6495281254654325	0.3004802879433267	0.9519934954203955	3865.8073496809798
PCA	47k	1		0.06360018375156697	0.20054556403483928	0.19584467075451878	0.6842706894930014	136.52442180882667
PCA	47k	2		0.31756753961840983	0.6024634607592719	0.29772299814821146	0.8905647400066982	3689.058898129294
PCA	47k	3		0.348646835860265	0.5984771149920441	0.28965060189498265	0.8669028743988642	3133.355625917732
PCA	47k	4		0.0741235811232084	0.11005416639638962	0.19957832143729154	0.7304066003899065	139.21780421966682
PCA	47k	5		0.3178266027056667	0.5931731726294968	0.2974228871913415	0.8939663010840488	3800.026793988126
PCA	47k	6		0.36100951706918183	0.5948240801944602	0.2921247516330662	0.8797876151861453	3351.5157435279593
VAE	470k	1	42.0	0.3608921823392248	0.610843413716689	0.2952257620010957	0.8657805896183781	2099.2584728968677
VAE	470k	1	43.0	0.3502881387257135	0.594659154930997	0.2851627302628057	0.8620181767280191	2678.1345193127645
VAE	470k	1	44.0	0.4474908383696538	0.6547119568542806	0.22819565344557557	0.9274552441724161	1950.7154455725251
VAE	470k	2	42.0	0.5802891263531433	0.96419492497323	0.4013794129716857	0.9973643602364686	1745.267320256038
VAE	470k	2	43.0	0.4707877425554278	0.8126908213607534	0.3154174118007858	0.9973643602364686	955.7638974553105
VAE	470k	2	44.0	0.5479698919892492	0.7007993223783815	0.4194589056590735	0.9971398541167763	1147.4462145145844
VAE	470k	3	42.0	0.5372116703750709	0.9073086809379668	0.45544285533329154	0.9874158964568495	1313.042231908996
VAE	470k	3	43.0	0.45567776274691474	0.7891314622488191	0.4607165063749719	0.9850564731261926	846.484298332225
VAE	470k	3	44.0	0.4957744096007009	0.6198705436290493	0.37579070578983303	0.9920855159400223	660.0004724253077
VAE	470k	4	42.0	0.2537853082773696	0.5860184871064703	0.2743973358915231	0.7213829866243396	2077.531454328432
VAE	470k	4	43.0	0.3348964087707233	0.5761839232282621	0.27498599526151324	0.8842284220170088	2676.2837692760118
VAE	470k	4	44.0	0.261176328121508	0.5729649967055456	0.24430958499395555	0.7576313997325358	2066.7863430603984
VAE	470k	5	42.0	0.6280164895924958	0.9464709447069826	0.32099626850600776	0.9981883400685524	2730.0585093711584
VAE	470k	5	43.0	0.6336359654301479	0.8823784297816263	0.31758461418366785	0.9981883400685524	2222.251368045314
VAE	470k	5	44.0	0.6052861474632879	0.8994981334222195	0.27937922486138245	0.9955212070098528	2053.806009359581
VAE	470k	6	42.0	0.6059312875192765	0.9547070374389066	0.37573786857428687	0.9918968422441836	1722.23540919871
VAE	470k	6	43.0	0.5390351348355124	0.7984174965235098	0.3814765382963204	0.995937189104891	876.1284742610648
VAE	470k	6	44.0	0.4966992881342533	0.6547324576057298	0.40168531393934154	0.995937189104891	806.5978004533373
VAE	47k	1	42.0	0.43567800674228524	0.6586943627584507	0.255012821624941	0.9447193374414345	2187.9725968402395
VAE	47k	1	43.0	0.44544993982434034	0.668000340048083	0.2683165182579175	0.9447949805289172	1339.811955108736
VAE	47k	1	44.0	0.43431454306415024	0.6463455205787574	0.24533402331904047	0.9390301475073531	1455.0086382756454
VAE	47k	2	42.0	0.5639497270563653	0.8279561378474289	0.5485936385594541	0.9870608850139251	1670.368647979653
VAE	47k	2	43.0	0.5174221790089062	0.8462496440486306	0.5453506651793406	0.9938659093931942	1096.679612855321
VAE	47k	2	44.0	0.5663028411443342	0.8831228071274628	0.3787275474246102	0.9932601307274674	1523.718173603656
VAE	47k	3	42.0	0.4566569417815946	0.6644523652294859	0.13645326143443942	0.9896523146672642	763.4869251385209
VAE	47k	3	43.0	0.4699286052836268	0.7918434509399701	0.38432947382146915	0.980986080704947	1009.5801066692646
VAE	47k	3	44.0	0.5227847634203271	0.9119621353346727	0.39549474780965	0.983631038334971	1056.8322592145294
VAE	47k	4	42.0	0.29691906550777436	0.589926843776802	0.29772675586598246	0.918855997125125	2269.5002668741104
VAE	47k	4	43.0	0.43229096801724315	0.6320574969773456	0.28971004009100193	0.9464253156807875	1868.956234633178
VAE	47k	4	44.0	0.34348647174996955	0.6250435097473775	0.26632861611456515	0.9198866789537014	1911.8955656098128
VAE	47k	5	42.0	0.4919151358353624	0.6720927361213367	0.28525347301322035	0.9957813519441301	746.2861956116362
VAE	47k	5	43.0	0.5665456975977224	0.647266715806226	0.3136667556746608	0.989890598841849	1350.8428793672351
VAE	47k	5	44.0	0.5770843137505883	0.8948730456560292	0.3462811719911021	0.9924836815110737	1448.145319210576
VAE	47k	6	42.0	0.5071632014660998	0.7965197593884534	0.306380979920155	0.989652618759191	763.0358741141415
VAE	47k	6	43.0	0.4821309719221809	0.6457823240393561	0.27058405627281323	0.9874264398595465	922.7773175173039
VAE	47k	6	44.0	0.5129206642329195	0.7879742734232981	0.03883431934938558	0.9837500496036043	856.5917976188978
